time,x,y,z,fx,fy,fz
1711918780.1738677,-1.493872169405222,0.8724561035633087,-0.6708023995161057,0.3,-0.29999962,-25.0
time,x,y,z,fx,fy,fz
1711919098.3359752,-0.04963627830147743,0.19268351793289185,-0.18008628487586975,-0.25972566,-0.28288388,-25.0
time,x,y,z,fx,fy,fz
1711919098.3458548,-0.04963627830147743,0.19268351793289185,-0.18008628487586975,-0.2597324,-0.2828836,-25.0
time,x,y,z,fx,fy,fz
1711919098.3554022,1.107528805732727e-05,-0.00019337236881256104,-0.0002301335334777832,-0.29045656,-0.026907668,-25.0
time,x,y,z,fx,fy,fz
1711919098.365087,1.107528805732727e-05,-0.00019337236881256104,-0.0002301335334777832,-0.2904566,-0.026907614,-25.0
time,x,y,z,fx,fy,fz
1711919098.3747118,-1.6279518604278564e-06,-0.0002069324254989624,-0.00023899972438812256,-0.29044622,-0.026970759,-25.0
time,x,y,z,fx,fy,fz
1711919098.384679,-1.6279518604278564e-06,-0.0002069324254989624,-0.00023899972438812256,-0.2904465,-0.02696957,-25.0
time,x,y,z,fx,fy,fz
1711919098.3943737,7.45430588722229e-06,-0.00020265579223632812,-0.00023931264877319336,-0.29044437,-0.026988212,-25.0
time,x,y,z,fx,fy,fz
1711919098.405858,7.45430588722229e-06,-0.00020265579223632812,-0.00023931264877319336,-0.29044434,-0.026987972,-25.0
time,x,y,z,fx,fy,fz
1711919098.4158406,-3.6619603633880615e-06,-0.00021494925022125244,-0.00024768710136413574,-0.29044718,-0.02697921,-25.0
time,x,y,z,fx,fy,fz
1711919098.4257421,-3.6619603633880615e-06,-0.00021494925022125244,-0.00024768710136413574,-0.29044712,-0.02697907,-25.0
time,x,y,z,fx,fy,fz
1711919098.4355206,4.7013163566589355e-06,-0.0002108365297317505,-0.00024802982807159424,-0.2904464,-0.026990447,-25.0
time,x,y,z,fx,fy,fz
1711919098.4453714,4.7013163566589355e-06,-0.0002108365297317505,-0.00024802982807159424,-0.29044622,-0.026990721,-25.0
time,x,y,z,fx,fy,fz
1711919098.4549415,1.3016164302825928e-05,-0.0002065598964691162,-0.0002483576536178589,-0.2904516,-0.026967335,-25.0
time,x,y,z,fx,fy,fz
1711919098.4645503,1.3016164302825928e-05,-0.0002065598964691162,-0.0002483576536178589,-0.29045138,-0.026967682,-25.0
time,x,y,z,fx,fy,fz
1711919098.4747484,2.7418136596679688e-06,-0.00021785497665405273,-0.00025644898414611816,-0.2904404,-0.02703541,-25.0
time,x,y,z,fx,fy,fz
1711919098.48532,2.7418136596679688e-06,-0.00021785497665405273,-0.00025644898414611816,-0.29044047,-0.027035339,-25.0
time,x,y,z,fx,fy,fz
1711919098.4951437,1.0967254638671875e-05,-0.00021350383758544922,-0.00025673210620880127,-0.2904445,-0.027018445,-25.0
time,x,y,z,fx,fy,fz
1711919098.5049338,1.0967254638671875e-05,-0.00021350383758544922,-0.00025673210620880127,-0.29044455,-0.027018497,-25.0
time,x,y,z,fx,fy,fz
